"Year, Month",UV_080m,WD_080m,Year,Month,Day,Hour,Min,Sec,Date_Time
2.01E+11,8.8,281,2008,1,1,9,0,0,2008/1/1 9:0:0
2.01E+11,8.8,282,2008,1,1,9,10,0,2008/1/1 9:10:0
2.01E+11,8.8,282,2008,1,1,9,20,0,2008/1/1 9:20:0
2.01E+11,8.8,282,2008,1,1,9,30,0,2008/1/1 9:30:0
2.01E+11,8.8,282,2008,1,1,9,40,0,2008/1/1 9:40:0
2.01E+11,8.8,282,2008,1,1,9,50,0,2008/1/1 9:50:0
2.01E+11,8.8,282,2008,1,1,10,0,0,2008/1/1 10:0:0
2.01E+11,8.7,282,2008,1,1,10,10,0,2008/1/1 10:10:0
2.01E+11,8.7,281,2008,1,1,10,20,0,2008/1/1 10:20:0
2.01E+11,8.6,281,2008,1,1,10,30,0,2008/1/1 10:30:0
2.01E+11,8.5,282,2008,1,1,10,40,0,2008/1/1 10:40:0
2.01E+11,8.5,282,2008,1,1,10,50,0,2008/1/1 10:50:0
2.01E+11,8.4,282,2008,1,1,11,0,0,2008/1/1 11:0:0
2.01E+11,8.4,282,2008,1,1,11,10,0,2008/1/1 11:10:0
2.01E+11,8.3,282,2008,1,1,11,20,0,2008/1/1 11:20:0
2.01E+11,8.3,282,2008,1,1,11,30,0,2008/1/1 11:30:0
2.01E+11,8.3,282,2008,1,1,11,40,0,2008/1/1 11:40:0
2.01E+11,8.4,281,2008,1,1,11,50,0,2008/1/1 11:50:0
2.01E+11,8.4,281,2008,1,1,12,0,0,2008/1/1 12:0:0
2.01E+11,8.4,280,2008,1,1,12,10,0,2008/1/1 12:10:0
2.01E+11,8.5,280,2008,1,1,12,20,0,2008/1/1 12:20:0
2.01E+11,8.5,280,2008,1,1,12,30,0,2008/1/1 12:30:0
2.01E+11,8.5,280,2008,1,1,12,40,0,2008/1/1 12:40:0
2.01E+11,8.6,280,2008,1,1,12,50,0,2008/1/1 12:50:0
2.01E+11,8.7,279,2008,1,1,13,0,0,2008/1/1 13:0:0
2.01E+11,8.7,279,2008,1,1,13,10,0,2008/1/1 13:10:0
2.01E+11,8.8,279,2008,1,1,13,20,0,2008/1/1 13:20:0
2.01E+11,8.9,279,2008,1,1,13,30,0,2008/1/1 13:30:0
2.01E+11,9,279,2008,1,1,13,40,0,2008/1/1 13:40:0
2.01E+11,9.1,279,2008,1,1,13,50,0,2008/1/1 13:50:0
2.01E+11,9.2,279,2008,1,1,14,0,0,2008/1/1 14:0:0
2.01E+11,9.3,279,2008,1,1,14,10,0,2008/1/1 14:10:0
2.01E+11,9.5,279,2008,1,1,14,20,0,2008/1/1 14:20:0
2.01E+11,9.6,280,2008,1,1,14,30,0,2008/1/1 14:30:0
2.01E+11,9.7,280,2008,1,1,14,40,0,2008/1/1 14:40:0
2.01E+11,9.7,280,2008,1,1,14,50,0,2008/1/1 14:50:0
2.01E+11,9.8,280,2008,1,1,15,0,0,2008/1/1 15:0:0
2.01E+11,9.8,280,2008,1,1,15,10,0,2008/1/1 15:10:0
2.01E+11,9.8,280,2008,1,1,15,20,0,2008/1/1 15:20:0
2.01E+11,9.8,280,2008,1,1,15,30,0,2008/1/1 15:30:0
2.01E+11,9.9,280,2008,1,1,15,40,0,2008/1/1 15:40:0
2.01E+11,9.8,280,2008,1,1,15,50,0,2008/1/1 15:50:0
2.01E+11,9.8,280,2008,1,1,16,0,0,2008/1/1 16:0:0
2.01E+11,9.6,279,2008,1,1,16,10,0,2008/1/1 16:10:0
2.01E+11,9.4,279,2008,1,1,16,20,0,2008/1/1 16:20:0
2.01E+11,9.1,279,2008,1,1,16,30,0,2008/1/1 16:30:0
2.01E+11,8.8,278,2008,1,1,16,40,0,2008/1/1 16:40:0
2.01E+11,8.5,277,2008,1,1,16,50,0,2008/1/1 16:50:0
2.01E+11,8.1,277,2008,1,1,17,0,0,2008/1/1 17:0:0
2.01E+11,7.8,276,2008,1,1,17,10,0,2008/1/1 17:10:0
2.01E+11,7.6,276,2008,1,1,17,20,0,2008/1/1 17:20:0
2.01E+11,7.3,276,2008,1,1,17,30,0,2008/1/1 17:30:0
2.01E+11,7.1,277,2008,1,1,17,40,0,2008/1/1 17:40:0
2.01E+11,6.8,277,2008,1,1,17,50,0,2008/1/1 17:50:0
2.01E+11,6.5,277,2008,1,1,18,0,0,2008/1/1 18:0:0
2.01E+11,6.1,277,2008,1,1,18,10,0,2008/1/1 18:10:0
2.01E+11,5.7,277,2008,1,1,18,20,0,2008/1/1 18:20:0
2.01E+11,5.2,277,2008,1,1,18,30,0,2008/1/1 18:30:0
2.01E+11,4.8,276,2008,1,1,18,40,0,2008/1/1 18:40:0
2.01E+11,4.5,275,2008,1,1,18,50,0,2008/1/1 18:50:0
2.01E+11,4.1,275,2008,1,1,19,0,0,2008/1/1 19:0:0
2.01E+11,3.8,275,2008,1,1,19,10,0,2008/1/1 19:10:0
2.01E+11,3.6,275,2008,1,1,19,20,0,2008/1/1 19:20:0
2.01E+11,3.4,276,2008,1,1,19,30,0,2008/1/1 19:30:0
2.01E+11,3.2,277,2008,1,1,19,40,0,2008/1/1 19:40:0
2.01E+11,2.9,278,2008,1,1,19,50,0,2008/1/1 19:50:0
2.01E+11,2.7,280,2008,1,1,20,0,0,2008/1/1 20:0:0
2.01E+11,2.4,282,2008,1,1,20,10,0,2008/1/1 20:10:0
2.01E+11,2.2,284,2008,1,1,20,20,0,2008/1/1 20:20:0
2.01E+11,2,286,2008,1,1,20,30,0,2008/1/1 20:30:0
2.01E+11,1.8,288,2008,1,1,20,40,0,2008/1/1 20:40:0
2.01E+11,1.5,290,2008,1,1,20,50,0,2008/1/1 20:50:0
2.01E+11,1.3,291,2008,1,1,21,0,0,2008/1/1 21:0:0
2.01E+11,1,292,2008,1,1,21,10,0,2008/1/1 21:10:0
2.01E+11,0.6,293,2008,1,1,21,20,0,2008/1/1 21:20:0
2.01E+11,0.3,290,2008,1,1,21,30,0,2008/1/1 21:30:0
2.01E+11,0.1,132,2008,1,1,21,40,0,2008/1/1 21:40:0
2.01E+11,0.5,122,2008,1,1,21,50,0,2008/1/1 21:50:0
2.01E+11,0.8,122,2008,1,1,22,0,0,2008/1/1 22:0:0
2.01E+11,1.1,122,2008,1,1,22,10,0,2008/1/1 22:10:0
2.01E+11,1.4,122,2008,1,1,22,20,0,2008/1/1 22:20:0
2.01E+11,1.5,121,2008,1,1,22,30,0,2008/1/1 22:30:0
2.01E+11,1.5,119,2008,1,1,22,40,0,2008/1/1 22:40:0
2.01E+11,1.4,115,2008,1,1,22,50,0,2008/1/1 22:50:0
2.01E+11,1.3,112,2008,1,1,23,0,0,2008/1/1 23:0:0
2.01E+11,1.1,108,2008,1,1,23,10,0,2008/1/1 23:10:0
2.01E+11,0.9,106,2008,1,1,23,20,0,2008/1/1 23:20:0
2.01E+11,0.7,105,2008,1,1,23,30,0,2008/1/1 23:30:0
2.01E+11,0.5,109,2008,1,1,23,40,0,2008/1/1 23:40:0
2.01E+11,0.4,115,2008,1,1,23,50,0,2008/1/1 23:50:0
2.01E+11,0.4,119,2008,1,2,0,0,0,2008/1/2 0:0:0
2.01E+11,0.3,118,2008,1,2,0,10,0,2008/1/2 0:10:0
2.01E+11,0.2,121,2008,1,2,0,20,0,2008/1/2 0:20:0
2.01E+11,0.1,147,2008,1,2,0,30,0,2008/1/2 0:30:0
2.01E+11,0.2,202,2008,1,2,0,40,0,2008/1/2 0:40:0
2.01E+11,0.3,228,2008,1,2,0,50,0,2008/1/2 0:50:0
2.01E+11,0.5,240,2008,1,2,1,0,0,2008/1/2 1:0:0
2.01E+11,0.6,247,2008,1,2,1,10,0,2008/1/2 1:10:0
2.01E+11,0.9,253,2008,1,2,1,20,0,2008/1/2 1:20:0
2.01E+11,1.1,254,2008,1,2,1,30,0,2008/1/2 1:30:0
2.01E+11,1.3,254,2008,1,2,1,40,0,2008/1/2 1:40:0
2.01E+11,1.4,255,2008,1,2,1,50,0,2008/1/2 1:50:0
2.01E+11,1.6,256,2008,1,2,2,0,0,2008/1/2 2:0:0
2.01E+11,1.8,258,2008,1,2,2,10,0,2008/1/2 2:10:0
2.01E+11,2,260,2008,1,2,2,20,0,2008/1/2 2:20:0
2.01E+11,2.2,261,2008,1,2,2,30,0,2008/1/2 2:30:0
2.01E+11,2.4,262,2008,1,2,2,40,0,2008/1/2 2:40:0
2.01E+11,2.5,262,2008,1,2,2,50,0,2008/1/2 2:50:0
2.01E+11,2.7,262,2008,1,2,3,0,0,2008/1/2 3:0:0
2.01E+11,2.9,262,2008,1,2,3,10,0,2008/1/2 3:10:0
2.01E+11,3.2,261,2008,1,2,3,20,0,2008/1/2 3:20:0
2.01E+11,3.5,260,2008,1,2,3,30,0,2008/1/2 3:30:0
2.01E+11,3.8,259,2008,1,2,3,40,0,2008/1/2 3:40:0
2.01E+11,4.1,257,2008,1,2,3,50,0,2008/1/2 3:50:0
2.01E+11,4.4,257,2008,1,2,4,0,0,2008/1/2 4:0:0
2.01E+11,4.8,257,2008,1,2,4,10,0,2008/1/2 4:10:0
2.01E+11,5.2,258,2008,1,2,4,20,0,2008/1/2 4:20:0
2.01E+11,5.7,259,2008,1,2,4,30,0,2008/1/2 4:30:0
2.01E+11,6.2,261,2008,1,2,4,40,0,2008/1/2 4:40:0
2.01E+11,6.8,263,2008,1,2,4,50,0,2008/1/2 4:50:0
2.01E+11,7.4,264,2008,1,2,5,0,0,2008/1/2 5:0:0
2.01E+11,8.1,266,2008,1,2,5,10,0,2008/1/2 5:10:0
2.01E+11,8.6,268,2008,1,2,5,20,0,2008/1/2 5:20:0
2.01E+11,9.1,269,2008,1,2,5,30,0,2008/1/2 5:30:0
2.01E+11,9.5,270,2008,1,2,5,40,0,2008/1/2 5:40:0
2.01E+11,9.9,271,2008,1,2,5,50,0,2008/1/2 5:50:0
2.01E+11,10.1,271,2008,1,2,6,0,0,2008/1/2 6:0:0
2.01E+11,10.3,272,2008,1,2,6,10,0,2008/1/2 6:10:0
2.01E+11,10.3,272,2008,1,2,6,20,0,2008/1/2 6:20:0
2.01E+11,10.2,272,2008,1,2,6,30,0,2008/1/2 6:30:0
2.01E+11,10.1,272,2008,1,2,6,40,0,2008/1/2 6:40:0
2.01E+11,10.1,273,2008,1,2,6,50,0,2008/1/2 6:50:0
2.01E+11,10.1,273,2008,1,2,7,0,0,2008/1/2 7:0:0
2.01E+11,9.9,273,2008,1,2,7,10,0,2008/1/2 7:10:0
2.01E+11,9.6,273,2008,1,2,7,20,0,2008/1/2 7:20:0
2.01E+11,9.3,273,2008,1,2,7,30,0,2008/1/2 7:30:0
2.01E+11,9,273,2008,1,2,7,40,0,2008/1/2 7:40:0
2.01E+11,8.5,272,2008,1,2,7,50,0,2008/1/2 7:50:0
2.01E+11,8.1,272,2008,1,2,8,0,0,2008/1/2 8:0:0
2.01E+11,7.6,271,2008,1,2,8,10,0,2008/1/2 8:10:0
2.01E+11,7.2,270,2008,1,2,8,20,0,2008/1/2 8:20:0
2.01E+11,6.7,268,2008,1,2,8,30,0,2008/1/2 8:30:0
2.01E+11,6.2,267,2008,1,2,8,40,0,2008/1/2 8:40:0
2.01E+11,5.7,266,2008,1,2,8,50,0,2008/1/2 8:50:0
2.01E+11,5.4,267,2008,1,2,9,0,0,2008/1/2 9:0:0
2.01E+11,5.2,269,2008,1,2,9,10,0,2008/1/2 9:10:0
2.01E+11,5.1,271,2008,1,2,9,20,0,2008/1/2 9:20:0
2.01E+11,5,272,2008,1,2,9,30,0,2008/1/2 9:30:0
2.01E+11,5,272,2008,1,2,9,40,0,2008/1/2 9:40:0
2.01E+11,5,271,2008,1,2,9,50,0,2008/1/2 9:50:0
2.01E+11,4.9,268,2008,1,2,10,0,0,2008/1/2 10:0:0
2.01E+11,4.9,264,2008,1,2,10,10,0,2008/1/2 10:10:0
2.01E+11,5,260,2008,1,2,10,20,0,2008/1/2 10:20:0
2.01E+11,5.1,256,2008,1,2,10,30,0,2008/1/2 10:30:0
2.01E+11,5.3,253,2008,1,2,10,40,0,2008/1/2 10:40:0
2.01E+11,5.5,249,2008,1,2,10,50,0,2008/1/2 10:50:0
2.01E+11,5.7,246,2008,1,2,11,0,0,2008/1/2 11:0:0
2.01E+11,5.8,244,2008,1,2,11,10,0,2008/1/2 11:10:0
2.01E+11,6,242,2008,1,2,11,20,0,2008/1/2 11:20:0
2.01E+11,6.1,241,2008,1,2,11,30,0,2008/1/2 11:30:0
2.01E+11,6.1,240,2008,1,2,11,40,0,2008/1/2 11:40:0
2.01E+11,6.1,239,2008,1,2,11,50,0,2008/1/2 11:50:0
2.01E+11,6.2,239,2008,1,2,12,0,0,2008/1/2 12:0:0
2.01E+11,6.2,239,2008,1,2,12,10,0,2008/1/2 12:10:0
2.01E+11,6.1,239,2008,1,2,12,20,0,2008/1/2 12:20:0
2.01E+11,6,240,2008,1,2,12,30,0,2008/1/2 12:30:0
2.01E+11,5.9,241,2008,1,2,12,40,0,2008/1/2 12:40:0
2.01E+11,5.9,243,2008,1,2,12,50,0,2008/1/2 12:50:0
2.01E+11,5.8,245,2008,1,2,13,0,0,2008/1/2 13:0:0
2.01E+11,5.7,248,2008,1,2,13,10,0,2008/1/2 13:10:0
2.01E+11,5.6,250,2008,1,2,13,20,0,2008/1/2 13:20:0
2.01E+11,5.6,251,2008,1,2,13,30,0,2008/1/2 13:30:0
2.01E+11,5.5,253,2008,1,2,13,40,0,2008/1/2 13:40:0
2.01E+11,5.4,255,2008,1,2,13,50,0,2008/1/2 13:50:0
2.01E+11,5.4,257,2008,1,2,14,0,0,2008/1/2 14:0:0
2.01E+11,5.4,259,2008,1,2,14,10,0,2008/1/2 14:10:0
2.01E+11,5.5,262,2008,1,2,14,20,0,2008/1/2 14:20:0
2.01E+11,5.5,265,2008,1,2,14,30,0,2008/1/2 14:30:0
2.01E+11,5.6,268,2008,1,2,14,40,0,2008/1/2 14:40:0
2.01E+11,5.6,271,2008,1,2,14,50,0,2008/1/2 14:50:0
2.01E+11,5.6,273,2008,1,2,15,0,0,2008/1/2 15:0:0
2.01E+11,5.6,276,2008,1,2,15,10,0,2008/1/2 15:10:0
2.01E+11,5.5,278,2008,1,2,15,20,0,2008/1/2 15:20:0
2.01E+11,5.3,281,2008,1,2,15,30,0,2008/1/2 15:30:0
2.01E+11,5.1,283,2008,1,2,15,40,0,2008/1/2 15:40:0
2.01E+11,5,285,2008,1,2,15,50,0,2008/1/2 15:50:0
2.01E+11,4.9,286,2008,1,2,16,0,0,2008/1/2 16:0:0
2.01E+11,4.9,287,2008,1,2,16,10,0,2008/1/2 16:10:0
2.01E+11,5.1,286,2008,1,2,16,20,0,2008/1/2 16:20:0
2.01E+11,5.4,284,2008,1,2,16,30,0,2008/1/2 16:30:0
2.01E+11,5.9,281,2008,1,2,16,40,0,2008/1/2 16:40:0
2.01E+11,6.9,276,2008,1,2,16,50,0,2008/1/2 16:50:0
2.01E+11,8.3,271,2008,1,2,17,0,0,2008/1/2 17:0:0
2.01E+11,10,268,2008,1,2,17,10,0,2008/1/2 17:10:0
2.01E+11,11.8,265,2008,1,2,17,20,0,2008/1/2 17:20:0
2.01E+11,13.4,263,2008,1,2,17,30,0,2008/1/2 17:30:0
2.01E+11,14.7,262,2008,1,2,17,40,0,2008/1/2 17:40:0
2.01E+11,15.7,261,2008,1,2,17,50,0,2008/1/2 17:50:0
2.01E+11,16.4,261,2008,1,2,18,0,0,2008/1/2 18:0:0
2.01E+11,16.9,260,2008,1,2,18,10,0,2008/1/2 18:10:0
2.01E+11,17.1,260,2008,1,2,18,20,0,2008/1/2 18:20:0
2.01E+11,17.2,260,2008,1,2,18,30,0,2008/1/2 18:30:0
2.01E+11,17.2,260,2008,1,2,18,40,0,2008/1/2 18:40:0
2.01E+11,17.1,260,2008,1,2,18,50,0,2008/1/2 18:50:0
2.01E+11,16.9,260,2008,1,2,19,0,0,2008/1/2 19:0:0
2.01E+11,16.6,261,2008,1,2,19,10,0,2008/1/2 19:10:0
2.01E+11,16.4,261,2008,1,2,19,20,0,2008/1/2 19:20:0
2.01E+11,16.1,261,2008,1,2,19,30,0,2008/1/2 19:30:0
2.01E+11,15.8,262,2008,1,2,19,40,0,2008/1/2 19:40:0
2.01E+11,15.6,262,2008,1,2,19,50,0,2008/1/2 19:50:0
2.01E+11,15.3,262,2008,1,2,20,0,0,2008/1/2 20:0:0
2.01E+11,15.1,262,2008,1,2,20,10,0,2008/1/2 20:10:0
2.01E+11,14.8,263,2008,1,2,20,20,0,2008/1/2 20:20:0
2.01E+11,14.6,263,2008,1,2,20,30,0,2008/1/2 20:30:0
2.01E+11,14.4,263,2008,1,2,20,40,0,2008/1/2 20:40:0
2.01E+11,14.2,263,2008,1,2,20,50,0,2008/1/2 20:50:0
2.01E+11,14,264,2008,1,2,21,0,0,2008/1/2 21:0:0
2.01E+11,13.8,264,2008,1,2,21,10,0,2008/1/2 21:10:0
2.01E+11,13.6,264,2008,1,2,21,20,0,2008/1/2 21:20:0
2.01E+11,13.4,264,2008,1,2,21,30,0,2008/1/2 21:30:0
2.01E+11,13.2,264,2008,1,2,21,40,0,2008/1/2 21:40:0
2.01E+11,13.1,265,2008,1,2,21,50,0,2008/1/2 21:50:0
2.01E+11,12.9,265,2008,1,2,22,0,0,2008/1/2 22:0:0
2.01E+11,12.8,265,2008,1,2,22,10,0,2008/1/2 22:10:0
2.01E+11,12.7,265,2008,1,2,22,20,0,2008/1/2 22:20:0
2.01E+11,12.5,266,2008,1,2,22,30,0,2008/1/2 22:30:0
2.01E+11,12.4,266,2008,1,2,22,40,0,2008/1/2 22:40:0
2.01E+11,12.3,266,2008,1,2,22,50,0,2008/1/2 22:50:0
2.01E+11,12.2,266,2008,1,2,23,0,0,2008/1/2 23:0:0
2.01E+11,12.1,266,2008,1,2,23,10,0,2008/1/2 23:10:0
2.01E+11,12.1,266,2008,1,2,23,20,0,2008/1/2 23:20:0
2.01E+11,12,266,2008,1,2,23,30,0,2008/1/2 23:30:0
2.01E+11,11.9,266,2008,1,2,23,40,0,2008/1/2 23:40:0
2.01E+11,11.9,266,2008,1,2,23,50,0,2008/1/2 23:50:0
2.01E+11,11.8,266,2008,1,3,0,0,0,2008/1/3 0:0:0
2.01E+11,11.8,266,2008,1,3,0,10,0,2008/1/3 0:10:0
2.01E+11,11.8,266,2008,1,3,0,20,0,2008/1/3 0:20:0
2.01E+11,11.7,266,2008,1,3,0,30,0,2008/1/3 0:30:0
2.01E+11,11.7,266,2008,1,3,0,40,0,2008/1/3 0:40:0
2.01E+11,11.7,266,2008,1,3,0,50,0,2008/1/3 0:50:0
2.01E+11,11.6,266,2008,1,3,1,0,0,2008/1/3 1:0:0
2.01E+11,11.6,266,2008,1,3,1,10,0,2008/1/3 1:10:0
2.01E+11,11.5,266,2008,1,3,1,20,0,2008/1/3 1:20:0
2.01E+11,11.5,266,2008,1,3,1,30,0,2008/1/3 1:30:0
2.01E+11,11.5,266,2008,1,3,1,40,0,2008/1/3 1:40:0
2.01E+11,11.5,266,2008,1,3,1,50,0,2008/1/3 1:50:0
2.01E+11,11.5,266,2008,1,3,2,0,0,2008/1/3 2:0:0
2.01E+11,11.4,266,2008,1,3,2,10,0,2008/1/3 2:10:0
2.01E+11,11.4,266,2008,1,3,2,20,0,2008/1/3 2:20:0
2.01E+11,11.3,266,2008,1,3,2,30,0,2008/1/3 2:30:0
2.01E+11,11.2,266,2008,1,3,2,40,0,2008/1/3 2:40:0
2.01E+11,11,266,2008,1,3,2,50,0,2008/1/3 2:50:0
2.01E+11,11,266,2008,1,3,3,0,0,2008/1/3 3:0:0
2.01E+11,10.9,266,2008,1,3,3,10,0,2008/1/3 3:10:0
2.01E+11,10.8,266,2008,1,3,3,20,0,2008/1/3 3:20:0
2.01E+11,10.8,266,2008,1,3,3,30,0,2008/1/3 3:30:0
2.01E+11,10.7,266,2008,1,3,3,40,0,2008/1/3 3:40:0
2.01E+11,10.7,266,2008,1,3,3,50,0,2008/1/3 3:50:0
2.01E+11,10.7,266,2008,1,3,4,0,0,2008/1/3 4:0:0
2.01E+11,10.6,266,2008,1,3,4,10,0,2008/1/3 4:10:0
2.01E+11,10.6,266,2008,1,3,4,20,0,2008/1/3 4:20:0
2.01E+11,10.6,265,2008,1,3,4,30,0,2008/1/3 4:30:0
2.01E+11,10.6,265,2008,1,3,4,40,0,2008/1/3 4:40:0
2.01E+11,10.6,265,2008,1,3,4,50,0,2008/1/3 4:50:0
2.01E+11,10.6,265,2008,1,3,5,0,0,2008/1/3 5:0:0
2.01E+11,10.6,265,2008,1,3,5,10,0,2008/1/3 5:10:0
2.01E+11,10.6,264,2008,1,3,5,20,0,2008/1/3 5:20:0
2.01E+11,10.6,264,2008,1,3,5,30,0,2008/1/3 5:30:0
2.01E+11,10.6,264,2008,1,3,5,40,0,2008/1/3 5:40:0
2.01E+11,10.7,264,2008,1,3,5,50,0,2008/1/3 5:50:0
2.01E+11,10.7,263,2008,1,3,6,0,0,2008/1/3 6:0:0
2.01E+11,10.7,263,2008,1,3,6,10,0,2008/1/3 6:10:0
2.01E+11,10.6,263,2008,1,3,6,20,0,2008/1/3 6:20:0
2.01E+11,10.6,263,2008,1,3,6,30,0,2008/1/3 6:30:0
2.01E+11,10.5,263,2008,1,3,6,40,0,2008/1/3 6:40:0
2.01E+11,10.4,262,2008,1,3,6,50,0,2008/1/3 6:50:0
2.01E+11,10.3,262,2008,1,3,7,0,0,2008/1/3 7:0:0
2.01E+11,10.2,262,2008,1,3,7,10,0,2008/1/3 7:10:0
2.01E+11,10,262,2008,1,3,7,20,0,2008/1/3 7:20:0
2.01E+11,9.8,261,2008,1,3,7,30,0,2008/1/3 7:30:0
2.01E+11,9.6,261,2008,1,3,7,40,0,2008/1/3 7:40:0
2.01E+11,9.4,261,2008,1,3,7,50,0,2008/1/3 7:50:0
2.01E+11,9.1,261,2008,1,3,8,0,0,2008/1/3 8:0:0
2.01E+11,8.7,260,2008,1,3,8,10,0,2008/1/3 8:10:0
2.01E+11,8.3,260,2008,1,3,8,20,0,2008/1/3 8:20:0
2.01E+11,7.9,260,2008,1,3,8,30,0,2008/1/3 8:30:0
2.01E+11,7.4,260,2008,1,3,8,40,0,2008/1/3 8:40:0
2.01E+11,7,259,2008,1,3,8,50,0,2008/1/3 8:50:0
2.01E+11,6.5,259,2008,1,3,9,0,0,2008/1/3 9:0:0
2.01E+11,6,259,2008,1,3,9,10,0,2008/1/3 9:10:0
2.01E+11,5.5,259,2008,1,3,9,20,0,2008/1/3 9:20:0
2.01E+11,5.1,259,2008,1,3,9,30,0,2008/1/3 9:30:0
2.01E+11,4.8,259,2008,1,3,9,40,0,2008/1/3 9:40:0
2.01E+11,4.5,258,2008,1,3,9,50,0,2008/1/3 9:50:0
2.01E+11,4.2,258,2008,1,3,10,0,0,2008/1/3 10:0:0
2.01E+11,4,257,2008,1,3,10,10,0,2008/1/3 10:10:0
2.01E+11,3.9,257,2008,1,3,10,20,0,2008/1/3 10:20:0
2.01E+11,3.8,256,2008,1,3,10,30,0,2008/1/3 10:30:0
2.01E+11,3.7,257,2008,1,3,10,40,0,2008/1/3 10:40:0
2.01E+11,3.5,258,2008,1,3,10,50,0,2008/1/3 10:50:0
2.01E+11,3.3,259,2008,1,3,11,0,0,2008/1/3 11:0:0
2.01E+11,3.1,261,2008,1,3,11,10,0,2008/1/3 11:10:0
2.01E+11,2.7,263,2008,1,3,11,20,0,2008/1/3 11:20:0
2.01E+11,2.4,267,2008,1,3,11,30,0,2008/1/3 11:30:0
